course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1566,배드민턴2,농어촌복합체육관,35.063863,127.777541,목,10:00,배드민턴,0,0,0,1,1
C1567,배드민턴2,농어촌복합체육관,35.063863,127.777541,금,10:00,배드민턴,0,0,0,1,1
C1568,탁구,반다비체육관,35.063863,127.777541,월,14:10,탁구,0,0,0,1,1
C1569,탁구,반다비체육관,35.063863,127.777541,수,14:10,탁구,0,0,0,1,1
C1570,탁구,반다비체육관,35.063863,127.777541,금,14:10,탁구,0,0,0,1,1
C1571,힐링기체조,1970관,35.070503,127.745480,화,10:30,생활체조,0,1,1,0,0
C1572,힐링기체조,1970관,35.070503,127.745480,금,10:30,생활체조,0,1,1,0,0
C1573,몸짱마음짱체육교실,창원도서관,35.225950,128.663832,토,14:00,생활체육,1,1,0,0,0
C1574,집중력업스포츠스태킹,창원도서관,35.225950,128.663832,토,15:30,생활체육,1,1,0,0,0
C1575,매듭&보자기공예,창원도서관,35.225950,128.663832,월,10:00,기공,0,1,1,0,0
C1576,야간필라테스,창원도서관,35.225950,128.663832,화,19:00,필라테스,1,1,1,0,0
C1577,요가&스트레칭,창원도서관,35.225950,128.663832,월,10:00,요가,1,0,1,0,0
C1578,라인업필라테스,창원도서관,35.225950,128.663832,화,10:00,필라테스,1,1,1,0,0
C1579,[목]라인댄스,다목적실,35.971192,126.736505,목,09:30,댄스,0,1,0,1,0
C1580,건강운동지도사(자격증)-야간,경복대학교 남양주캠퍼스 작업치료강의실,37.733704,127.210749,화,19:00,생활체육,1,1,0,0,0
C1581,(단기)반려견 기초훈련(독스포츠),경복대학교 남양주캠퍼스 실습실,37.733704,127.210749,수,10:00,생활체육,1,1,0,0,0
C1582,줌바댄스,평생학습관(본관),35.159240,128.032108,화,14:00,댄스,0,1,0,1,0
C1583,줌바댄스,평생학습관(본관),35.159240,128.032108,목,14:00,댄스,0,1,0,1,0
C1584,[금정구평생학습관] 일상에 편리함을 더하는 스마트폰 활용교육(장애인),금정구평생학습관,35.282587,129.092883,월,14:00,테니스,0,0,0,1,1
C1585,어르신 건강체조(A),휘트니스홀,37.890883,127.053231,수,13:00,생활체조,0,1,1,0,0
C1586,어르신 건강체조(A),휘트니스홀,37.890883,127.053231,금,13:00,생활체조,0,1,1,0,0
C1587,어르신 건강체조(B),휘트니스홀,37.890883,127.053231,수,15:00,생활체조,0,1,1,0,0
