address,lat,lng,method
충청남도 보령시 목장길 66,36.347222,126.596338,address
충청남도 부여군 부여읍 성왕로 360,36.283512,126.927226,address
충청남도 서산시 동서1로 41-4,36.769859,126.464594,address
충청남도 서산시 안견로 252,36.778010,126.455499,address
충청남도 서천군 서천읍 군청로 16-1,36.075576,126.691134,address
충청남도 아산시 남부로 92,36.770903,126.992161,address
충청남도 예산군 예산읍 아리랑로 147,36.685934,126.846003,address
충청남도 천안시 동남구 목천읍 충절로 843,36.770954,127.205177,address
"충청남도 청양군 청양읍 문화예술로 187, 나눔연습실",36.456149,126.800447,address
충청남도 청양군 청양읍 문화예술로 187-1,36.456979,126.800513,address
충청남도 태안군 태안읍 백화로 180 교육문화센터,36.755192,126.309431,address
"충청남도 홍성군 홍북읍 청사로50, 홍성군신도시평생학습관",36.648909,126.672026,facility
충청북도 괴산군 괴산읍 읍내로 184,36.819197,127.798893,facility
충청북도 괴산군 괴산읍 읍내로12길 43,36.810931,127.792062,facility
충청북도 보은군 보은읍 삼산로 56-10,36.484111,127.716092,address
충청북도 보은군 보은읍 이평리 244,36.484342,127.731140,address
충청북도 영동군 영동읍 학산영동로 1220,36.171352,127.772736,address
충청북도 진천군 이월면 도종길 20,36.917348,127.451538,address
충청북도 청주시 흥덕구 월명로 13번길 52,36.636066,127.450258,address
충청북도 충주시 사직산6길 20(문화동),36.969508,127.926913,address
충청북도 충주시 호암대로 50,36.956908,127.930323,address
"충청북도 충주시 호암토성3길5, 호암직동행정복지센터2층",36.953157,127.933336,address
