course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1395,,용인시 평생학습관 스포츠센터,37.320524,127.095500,,,생활체육,1,1,0,0,0
C1396,,용인시 평생학습관 스포츠센터 수영장,37.320524,127.095500,,,수영,0,1,1,1,0
C1397,,임진어린이공원(농구장),37.318001,127.093810,,,농구,0,0,0,1,1
C1398,,죽전체육공원(배드민턴장),37.330456,127.113390,,,배드민턴,0,0,0,1,1
C1399,,토월체육공원(배드민턴장),37.327705,127.084612,,,배드민턴,0,0,0,1,1
C1400,,홍천말근린공원(배드민턴장),37.321335,127.077980,,,배드민턴,0,0,0,1,1
C1401,,남사스포츠센터 수영장,37.156938,127.173792,,,수영,0,1,1,1,0
C1402,,백암면 다목적체육관,37.163407,127.375379,,,생활체육,1,1,0,0,0
C1403,,백암테니스장,37.172616,127.375955,,,테니스,0,0,0,1,1
C1404,,서리다목적구장,37.210029,127.171674,,,생활체육,1,1,0,0,0
C1405,,양지수영장,37.236662,127.285826,,,수영,0,1,1,1,0
C1406,,용인 남사스포츠센터,37.156939,127.173791,,,생활체육,1,1,0,0,0
C1407,,용인시 실내체육관,37.238547,127.212485,,,생활체육,1,1,0,0,0
C1408,,용인시민체육센터,37.276384,127.245795,,,수영,0,1,1,1,0
C1409,,용인시스포츠클라이밍장,37.238538,127.213587,,,클라이밍,1,0,1,0,0
C1410,,용인시씨름장,37.249631,127.165158,,,씨름,1,0,0,0,1
C1411,,용인시청소년수련관체육관,37.240867,127.177969,,,생활체육,1,1,0,0,0
C1412,,통일광장 농구장,37.234677,127.197172,,,농구,0,0,0,1,1
C1413,,포곡 파크골프장,37.295576,127.233719,,,파크골프,0,0,1,0,0
C1414,,고천다목적실내체육관,37.347899,126.982358,,,생활체육,1,1,0,0,0
C1415,,고천배수지테니스장,37.355808,126.975150,,,테니스,0,0,0,1,1
C1416,,고천테니스장,37.345559,126.981925,,,테니스,0,0,0,1,1
C1417,,금천천 파크골프장,37.329356,126.953843,,,파크골프,0,0,1,0,0
C1418,,내손 탁구장,37.386730,126.975223,,,탁구,0,0,0,1,1
C1419,,내손약수체육시설테니스장,37.382408,126.983650,,,테니스,0,0,0,1,1
C1420,,들락날락 탁구장,37.395700,126.981720,,,탁구,0,0,0,1,1
C1421,,백운배드민턴장,37.335463,126.964326,,,배드민턴,0,0,0,1,1
C1422,,백운밸리 인라인스케이트장,37.365780,127.003294,,,롤러,0,0,0,1,1
C1423,,백운커뮤니티센터,37.370038,127.007580,,,생활체육,1,1,0,0,0
C1424,,백운커뮤니티센터수영장,37.370038,127.007580,,,수영,0,1,1,1,0
C1425,,부곡다목적실내체육관,37.314634,126.958756,,,생활체육,1,1,0,0,0
C1426,,부곡배수지 이동그라운드골프장,37.335463,126.964326,,,골프,0,0,1,0,1
C1427,,부곡스포츠센터,37.318645,126.957238,,,생활체육,1,1,0,0,0
C1428,,부곡스포츠센터 수영장,37.318644,126.957237,,,수영,0,1,1,1,0
C1429,,부곡체육공원씨름장,37.314634,126.958756,,,씨름,1,0,0,0,1
C1430,,부곡체육공원테니스장,37.314634,126.958756,,,테니스,0,0,0,1,1
C1431,,산빛공원테니스장,37.399165,126.988019,,,테니스,0,0,0,1,1
C1432,,의왕국민체육센터(구: 의왕시국민체육센터수영장),37.382035,126.975166,,,수영,0,1,1,1,0
C1433,,의왕시국민체육센터,37.382035,126.975166,,,생활체육,1,1,0,0,0
C1434,,의왕청소년수련관체육관,37.341795,126.971938,,,생활체육,1,1,0,0,0
C1435,,의왕테니스장,37.398922,127.004775,,,테니스,0,0,0,1,1
C1436,,청계 배드민턴장,37.386804,126.999087,,,배드민턴,0,0,0,1,1
C1437,,청계소프트테니스장,37.386804,126.999087,,,테니스,0,0,0,1,1
C1438,,청계체육시설테니스장,37.386588,126.997730,,,테니스,0,0,0,1,1
C1439,,평생학습관 수영장,37.355056,126.975459,,,수영,0,1,1,1,0
C1440,,포일 스포츠센터,37.396108,126.983053,,,생활체육,1,1,0,0,0
C1441,,포일 스포츠센터 수영장,37.396108,126.983053,,,수영,0,1,1,1,0
C1442,,포일배드민턴장,37.382362,126.985846,,,배드민턴,0,0,0,1,1
C1443,,금오동 인라인스케이트,37.746713,127.057851,,,롤러,0,0,0,1,1
C1444,,낙양물사랑공원,37.747222,127.092696,,,생활체육,1,1,0,0,0
C1445,,녹양테니스장,37.760013,127.027967,,,테니스,0,0,0,1,1
C1446,,라과디아 그라운드 골프장,37.744215,127.038881,,,골프,0,0,1,0,1
C1447,,라과디아 농구장,37.743635,127.037435,,,농구,0,0,0,1,1
C1448,,민락국민체육센터,37.747281,127.107213,,,수영,0,1,1,1,0
C1449,,민락저류지 농구장,37.747876,127.104774,,,농구,0,0,0,1,1
C1450,,벨로드롬 롤러스케이트장,37.757653,127.029144,,,롤러,0,0,0,1,1
C1451,,송산배수지테니스장,37.747519,127.076639,,,테니스,0,0,0,1,1
C1452,,시청 앞 농구장,37.739312,127.035511,,,농구,0,0,0,1,1
C1453,,신곡실내배드민턴장,37.742999,127.065733,,,배드민턴,0,0,0,1,1
C1454,,약수배드민턴장 앞,37.737955,127.028204,,,배드민턴,0,0,0,1,1
C1455,,용현정,37.734553,127.074352,,,국궁,1,0,1,0,0
C1456,,의정부 청소년수련관 실내수영장,37.735177,127.033889,,,수영,0,1,1,1,0
C1457,,의정부배수지 테니스장,37.733464,127.031927,,,테니스,0,0,0,1,1
C1458,,의정부시 스포츠센터 실내수영장,37.713433,127.051421,,,수영,0,1,1,1,0
C1459,,의정부시스포츠센터,37.713432,127.051422,,,생활체육,1,1,0,0,0
C1460,,의정부실내빙상장,37.758796,127.023836,,,빙상,0,0,0,1,1
